Epoch 1/1000, Batch 2, Loss: 2461.6752
Epoch 1/1000, Batch 3, Loss: 37566.8733
Epoch 1/1000, Batch 4, Loss: 548619.0353
Epoch 1/1000, Batch 5, Loss: 9593814.3168
Epoch 1/1000, Batch 6, Loss: 310558107.1564
Epoch 1/1000, Batch 7, Loss: 11246546331.8891
Epoch 1/1000, Batch 8, Loss: 246371977103.7639
Epoch 1/1000, Batch 9, Loss: 8836892225253.7148
Epoch 1/1000, Batch 10, Loss: 446856116389110.1250
Epoch 1/1000, Batch 11, Loss: 15820696438986016.0000
Epoch 1/1000, Batch 12, Loss: 407647117984592384.0000
Epoch 1/1000, Batch 13, Loss: 15689442515419377664.0000
Epoch 1/1000, Batch 14, Loss: 686010838252261212160.0000
Epoch 1/1000, Batch 15, Loss: 23078109599308464521216.0000
Epoch 1/1000, Batch 16, Loss: 855961332662011625996288.0000
Epoch 1/1000, Batch 17, Loss: 22417089917951271277428736.0000
Epoch 1/1000, Batch 18, Loss: 790894170425038779281571840.0000
Epoch 1/1000, Batch 19, Loss: 24750318778938508316124381184.0000
Epoch 1/1000, Batch 20, Loss: 651887088062680569377112195072.0000
Epoch 1/1000, Batch 21, Loss: 21629260808637468989250359787520.0000
Epoch 1/1000, Batch 22, Loss: 748900515106403868683059171688448.0000
Epoch 1/1000, Batch 23, Loss: 34667289803270664436088896072187904.0000
Epoch 2/1000, Batch 2, Loss: 876219635426610860761111494108643328.0000
Epoch 2/1000, Batch 3, Loss: 13526145579529496853016931582506696704.0000
Epoch 2/1000, Batch 4, Loss: 197553613595506670507930416919103930368.0000
Epoch 2/1000, Batch 5, Loss: 3453316532082398937642743609964904841216.0000
Epoch 2/1000, Batch 6, Loss: 111794120019379938926067466322886359252992.0000
Epoch 2/1000, Batch 7, Loss: 4048585004331310647952424667846331747794944.0000
Epoch 2/1000, Batch 8, Loss: 88690231252156577899594558951731218926796800.0000
Epoch 2/1000, Batch 9, Loss: 3181149835433041686335971032269910030136901632.0000
Epoch 2/1000, Batch 10, Loss: 160861579413117160258467655250219412086880993280.0000
Epoch 2/1000, Batch 11, Loss: 5695216362868868211224047408295895800130593357824.0000
Epoch 2/1000, Batch 12, Loss: 146746924087280928463367269980399399405954004942848.0000
Epoch 2/1000, Batch 13, Loss: 5647966902152514223857481106519236974717472612548608.0000
Epoch 2/1000, Batch 14, Loss: 246953740084092215741141359409311266375846591438258176.0000
Epoch 2/1000, Batch 15, Loss: 8307777606167098510908522044219767269114707254934765568.0000
Epoch 2/1000, Batch 16, Loss: 308133400642407231190709403107363680978644788623181873152.0000
Epoch 2/1000, Batch 17, Loss: 8069820312378100944491243490486404786272067646806950936576.0000
Epoch 2/1000, Batch 18, Loss: 284710186058822696891376270301638090330790554924868989616128.0000
Epoch 2/1000, Batch 19, Loss: 8909748140866645313196854450599978791306129824345623088857088.0000
Epoch 2/1000, Batch 20, Loss: 234669695481414583837839228092313886086339320433261499006320640.0000
Epoch 2/1000, Batch 21, Loss: 7786213502917248413108677441279077678138693371523786647544004608.0000
Epoch 2/1000, Batch 22, Loss: 269593092184387628221503706833091573073291317142570506798313242624.0000
Epoch 2/1000, Batch 23, Loss: 12479710812307473559096892317153237309698527305583605258951740882944.0000
Epoch 3/1000, Batch 2, Loss: 315426089557134740776975179529086787296045830474473968493911296966656.0000
Epoch 3/1000, Batch 3, Loss: 4869212049618420869112022874324592772719226820974124856956234388996096.0000
Epoch 3/1000, Batch 4, Loss: 71116374587945429539022888127586445544984925136184585724183956269563904.0000
Epoch 3/1000, Batch 5, Loss: 1243142798537512530977662930869119029070237627804093749570284908305186816.0000
Epoch 3/1000, Batch 6, Loss: 40244227231937536632098433183868646073790607887346306924894926592362414080.0000
Epoch 3/1000, Batch 7, Loss: 1457430631001694260885734688753733973657459936436680366196065129196647612416.0000
Epoch 3/1000, Batch 8, Loss: 31927169507180977268603331923341679783866658118702935717208774215197482024960.0000
Epoch 3/1000, Batch 9, Loss: 1145166819272916859703634390150121666813135075021734896787860021261000094253056.0000
Epoch 3/1000, Batch 10, Loss: 57907785791127547728000804605494543452401982060899912110614077823580896659243008.0000
Epoch 3/1000, Batch 11, Loss: 2050193528985344680366891394527758983696027025179671648825855860551884040155693056.0000
Epoch 3/1000, Batch 12, Loss: 52826718950269037663367709826279632959571981664198791632737221208171837405830053888.0000
Epoch 3/1000, Batch 13, Loss: 2033184423020509428002286362553241081740727838614969675656713183218565280680363687936.0000
Epoch 3/1000, Batch 14, Loss: 88899688373576386156675785329790995883420208582044801699776686611471585476924837724160.0000
Epoch 3/1000, Batch 15, Loss: 2990676877433561193852426452901892978365498225771515485069483606109463992981743101542400.0000
Epoch 3/1000, Batch 16, Loss: 110923459937365505193853295050580947951072897492372178775058655251216701045722984231206912.0000
Epoch 3/1000, Batch 17, Loss: 2905015776464374393744145731048862281640618979332150668539666213795530323366393370933985280.0000
Epoch 3/1000, Batch 18, Loss: 102491449648802967745297168938764411177537074217334435646557202158142195972609913706548035584.0000
Epoch 3/1000, Batch 19, Loss: 3207377353104193604685081975452770566347956314578411817456451101609510666310323533883027488768.0000
Epoch 3/1000, Batch 20, Loss: 84477614276730270622433616885812086943813345343070127554113821398332966844785227192937394208768.0000
Epoch 3/1000, Batch 21, Loss: 2802921526046833732101140666407804312333444144116510512916648122473000205291883658463477957132288.0000
Epoch 3/1000, Batch 22, Loss: 97049519779290768319715772137273825175569283440514045797334437242056096096118340269618099696697344.0000
